TargetID	200729890044_A.AVG_Signal	200729890044_A.Detection Pval	200729890044_B.AVG_Signal	200729890044_B.Detection Pval	200729890044_C.AVG_Signal	200729890044_C.Detection Pval	200729890044_D.AVG_Signal	200729890044_D.Detection Pval	200729890044_E.AVG_Signal	200729890044_E.Detection Pval	200729890044_F.AVG_Signal	200729890044_F.Detection Pval	200729890044_G.AVG_Signal	200729890044_G.Detection Pval	200729890044_H.AVG_Signal	200729890044_H.Detection Pval	200729890044_I.AVG_Signal	200729890044_I.Detection Pval	200729890044_J.AVG_Signal	200729890044_J.Detection Pval	200729890044_K.AVG_Signal	200729890044_K.Detection Pval	200729890044_L.AVG_Signal	200729890044_L.Detection Pval	200796240064_A.AVG_Signal	200796240064_A.Detection Pval	200796240064_B.AVG_Signal	200796240064_B.Detection Pval	200796240064_C.AVG_Signal	200796240064_C.Detection Pval	200796240064_D.AVG_Signal	200796240064_D.Detection Pval	200796240064_E.AVG_Signal	200796240064_E.Detection Pval	200796240064_F.AVG_Signal	200796240064_F.Detection Pval	200796240064_G.AVG_Signal	200796240064_G.Detection Pval	200796240064_H.AVG_Signal	200796240064_H.Detection Pval	200796240064_I.AVG_Signal	200796240064_I.Detection Pval	200796240064_J.AVG_Signal	200796240064_J.Detection Pval	200796240064_K.AVG_Signal	200796240064_K.Detection Pval	200796240064_L.AVG_Signal	200796240064_L.Detection Pval
ERCC-00076	94,13515	0,9649351	98,49678	0,8506494	100,9566	0,9428571	102,3066	0,7467533	112,7839	0,6337662	103,0896	0,887013	114,3919	0,5064935	108,7934	0,7441558	102,7812	0,9428571	102,5712	0,7493507	110,062	0,6623377	99,4856	0,848052	104,0127	0,6688312	105,6632	0,7506493	97,91726	0,9584416	112,1071	0,7194805	108,0541	0,7142857	113,5874	0,7922078	103,7735	0,9246753	95,29654	0,938961	111,1474	0,8948052	104,092	0,712987	93,5504	0,9792208	111,2284	0,4974026
ERCC-00077	97,11074	0,9038961	95,22764	0,9337662	104,0406	0,8896104	91,7967	0,9883117	102,6634	0,9194805	109,0749	0,7324675	108,665	0,738961	104,1686	0,8844156	102,9364	0,9402598	111,719	0,3285714	117,9269	0,3103896	98,79444	0,8753247	91,5556	0,9896104	99,29549	0,925974	98,56174	0,9467533	106,3031	0,9064935	104,1198	0,848052	113,6901	0,7896104	101,942	0,951948	90,49784	0,9883117	107,6599	0,9571428	101,6438	0,812987	98,35299	0,9051948	98,39637	0,9415584
ERCC-00078	94,9543	0,9571428	95,69371	0,9233766	95,23153	0,9922078	87,81409	0,9974026	106,1027	0,8350649	104,9359	0,851948	97,88416	0,9753247	96,55262	0,9948052	104,0821	0,9103896	92,80244	0,9883117	99,25056	0,9779221	101,5975	0,7649351	91,67488	0,9896104	100,7304	0,9103896	105,0904	0,7688312	98,01408	0,9935065	103,8722	0,8571429	117,4693	0,6298701	104,0519	0,9181818	93,21044	0,9558442	112,3528	0,8584415	96,38528	0,9558442	101,8116	0,7831169	97,6757	0,9480519
ERCC-00079	92,37372	0,9831169	96,01605	0,9181818	96,68829	0,9831169	108,1974	0,4714286	106,0061	0,8389611	109,2109	0,7233766	105,9994	0,8168831	106,691	0,8246753	98,71648	0,9896104	108,6573	0,4688312	91,76147	0,9987013	101,6318	0,7649351	104,649	0,638961	98,64622	0,9350649	103,0351	0,8324676	107,7604	0,874026	107,0594	0,7597402	113,0874	0,8051948	105,4713	0,8909091	92,19992	0,9675325	113,2543	0,8194805	100,8496	0,8337662	96,9165	0,9402598	107,6011	0,6610389
ERCC-00081	101,4301	0,7896104	99,56535	0,8155844	100,9548	0,9428571	103,0896	0,7155844	104,9134	0,874026	101,3733	0,9324675	103,719	0,8883117	91,26539	0,9987013	111,0833	0,6571429	105,2311	0,6285715	100,611	0,9545454	97,33496	0,9103896	95,43816	0,9558442	101,8256	0,8766234	107,0311	0,6818182	105,832	0,9207792	111,4703	0,5597402	113,7225	0,7896104	102,9751	0,9428571	97,01185	0,9077922	103,6791	0,9857143	98,11444	0,9077922	103,8954	0,6948052	105,6666	0,7363636
ERCC-00083	97,40368	0,8961039	95,6703	0,9246753	102,1954	0,9246753	100,2639	0,8220779	100,8889	0,9441559	103,7626	0,8727273	103,9332	0,8883117	108,0362	0,7766234	110,5477	0,6896104	107,2674	0,5350649	106,6333	0,8012987	94,76331	0,9623377	104,3899	0,6506494	99,8932	0,9181818	101,2032	0,8857143	96,6003	0,9987013	101,8259	0,9233766	118,9269	0,5662338	109,5907	0,7649351	99,15533	0,8558441	109,837	0,925974	102,0399	0,7974026	93,57471	0,9792208	96,30496	0,9753247
ERCC-00084	91,27901	0,987013	103,5477	0,674026	101,7457	0,9324675	99,29608	0,8506494	104,1654	0,8857143	110,0375	0,6883117	99,35592	0,9584416	105,1504	0,8623376	113,4126	0,5584416	101,2798	0,8025974	109,4198	0,6831169	100,8198	0,7948052	100,8796	0,7896104	98,57098	0,9376624	110,4402	0,5142857	110,7192	0,7636364	109,8077	0,6428571	121,41	0,4805195	105,7704	0,8805195	95,25153	0,938961	111,0989	0,8961039	100,6773	0,8350649	98,32684	0,9051948	97,62663	0,9480519
ERCC-00085	100,2967	0,8311688	95,869	0,9233766	107,6508	0,787013	102,929	0,7181818	106,8273	0,812987	114,3755	0,5103896	98,20352	0,9714286	113,2599	0,6025974	107,978	0,787013	97,60552	0,9155844	107,2015	0,7792208	103,9808	0,6467533	100,9158	0,787013	101,6819	0,8857143	108,3207	0,6194805	107,9389	0,8688312	100,2244	0,9493507	106,6427	0,9610389	101,6552	0,9545454	96,66233	0,9168831	121,5608	0,4831169	100,5625	0,8402597	99,3234	0,8753247	98,2447	0,9454545
ERCC-00086	94,31532	0,9623377	90,80743	0,9896104	101,2009	0,9415584	99,08812	0,8584415	97,22225	0,9831169	112,5882	0,5766234	119,4416	0,3038961	100,9047	0,9506493	105,3764	0,8844156	99,84142	0,8441558	107,2358	0,7792208	98,32069	0,8896104	112,0263	0,2662338	113,8493	0,387013	102,0618	0,864935	109,8531	0,7935065	111,987	0,5285714	115,6673	0,7168831	102,2603	0,9506493	96,03082	0,9311689	117,3413	0,6727273	96,5444	0,9532468	98,44613	0,9025974	103,0564	0,8181818
ERCC-00092	100,8115	0,8168831	104,0184	0,6610389	102,7004	0,9168831	98,54045	0,8727273	106,4091	0,8272727	95,18617	0,9935065	99,0098	0,9649351	104,924	0,8675325	101,2131	0,9727273	95,02237	0,9662338	107,7964	0,7558442	98,68757	0,8766234	92,46618	0,9883117	102,4152	0,8545455	102,9848	0,8363636	114,4371	0,6207792	107,105	0,7584416	103,9253	0,9883117	115,647	0,5064935	97,88802	0,8857143	102,0399	0,9909091	106,1833	0,6207792	100,8548	0,8246753	96,54661	0,974026
