TargetID	ProbeID	200729890044_A.AVG_Signal	200729890044_A.Detection Pval	200729890044_B.AVG_Signal	200729890044_B.Detection Pval	200729890044_C.AVG_Signal	200729890044_C.Detection Pval	200729890044_D.AVG_Signal	200729890044_D.Detection Pval	200729890044_E.AVG_Signal	200729890044_E.Detection Pval	200729890044_F.AVG_Signal	200729890044_F.Detection Pval	200729890044_G.AVG_Signal	200729890044_G.Detection Pval	200729890044_H.AVG_Signal	200729890044_H.Detection Pval	200729890044_I.AVG_Signal	200729890044_I.Detection Pval	200729890044_J.AVG_Signal	200729890044_J.Detection Pval	200729890044_K.AVG_Signal	200729890044_K.Detection Pval	200729890044_L.AVG_Signal	200729890044_L.Detection Pval	200796240064_A.AVG_Signal	200796240064_A.Detection Pval	200796240064_B.AVG_Signal	200796240064_B.Detection Pval	200796240064_C.AVG_Signal	200796240064_C.Detection Pval	200796240064_D.AVG_Signal	200796240064_D.Detection Pval	200796240064_E.AVG_Signal	200796240064_E.Detection Pval	200796240064_F.AVG_Signal	200796240064_F.Detection Pval	200796240064_G.AVG_Signal	200796240064_G.Detection Pval	200796240064_H.AVG_Signal	200796240064_H.Detection Pval	200796240064_I.AVG_Signal	200796240064_I.Detection Pval	200796240064_J.AVG_Signal	200796240064_J.Detection Pval	200796240064_K.AVG_Signal	200796240064_K.Detection Pval	200796240064_L.AVG_Signal	200796240064_L.Detection Pval
NEGATIVE	840184	112,4849	0,3337662	112,4353	0,3090909	125,4351	0,1597403	105,6235	0,6142857	112,6481	0,6402597	127,0141	0,1337662	119,1391	0,3103896	129,5658	0,1077922	107,2267	0,8220779	114,8809	0,2207792	106,1453	0,8116883	111,7903	0,2831169	110,8878	0,3103896	117,6791	0,2571429	107,1562	0,6753247	128,8123	0,1428571	115,8676	0,3545454	131,2131	0,1376623	113,3511	0,6012987	111,8971	0,2727273	132,3667	0,1350649	113,6531	0,2896104	107,1091	0,5454546	118,1929	0,2168831
NEGATIVE	840193	101,4396	0,7896104	106,8552	0,5285714	107,6923	0,7857143	103,4728	0,7038961	121,8659	0,2857143	109,7645	0,7012987	118,6687	0,3337662	114,1557	0,5688311	115,8597	0,4623377	113,7696	0,261039	106,0285	0,8168831	93,69038	0,9714286	101,089	0,7818182	119,2814	0,2064935	107,0105	0,6844156	117,4667	0,4896104	115,9385	0,3467532	108,2204	0,9311689	104,2482	0,9155844	101,8227	0,7402598	114,9131	0,7662337	106,1817	0,6220779	107,1643	0,5428572	110,4341	0,5389611
NEGATIVE	840437	108,7767	0,4961039	101,9855	0,7363636	106,8908	0,8103896	101,727	0,7727273	123,9018	0,225974	118,3092	0,3597403	109,534	0,7051948	114,8466	0,5363637	117,6873	0,3948052	107,8083	0,512987	108,0349	0,7415584	101,5293	0,7675325	105,1463	0,6168831	100,9683	0,9025974	106,3775	0,7090909	115,5477	0,5779221	107,8678	0,7285714	118,42	0,5935065	114,0101	0,5766234	108,6106	0,4207792	114,6495	0,7753247	110,6548	0,4012987	109,4801	0,4402598	101,0616	0,8909091
NEGATIVE	840445	133,0065	0,01818182	122,4993	0,05974026	120,0183	0,2987013	124,9758	0,03636364	138,0426	0,02597403	124,4777	0,1974026	121,6327	0,2298701	122,3604	0,2441558	125,0941	0,1428571	123,3691	0,04675325	126,2955	0,0961039	113,5203	0,2233766	110,6449	0,325974	120,0505	0,1831169	118,0395	0,2103896	125,35	0,2155844	110,6677	0,6	118,8044	0,5727273	126,8095	0,1337662	105,9187	0,5376623	133,9412	0,1025974	109,1498	0,4818182	111,469	0,3519481	116,1444	0,2961039
NEGATIVE	840603	102,3078	0,7623377	113,1381	0,2714286	127,9512	0,112987	112,4699	0,3	123,1072	0,2467532	124,6074	0,1922078	149,9603	0,009090909	117,1991	0,4454545	128,1562	0,0961039	111,7471	0,3272727	115,642	0,4064935	112,8824	0,2441558	100,9213	0,787013	118,924	0,2194805	108,9587	0,5818182	124,8312	0,2350649	124,3312	0,1220779	116,989	0,6597403	125,0111	0,1805195	110,5268	0,3363636	146,7422	0,01818182	119,9534	0,1012987	113,3982	0,2883117	112,0053	0,4636364
NEGATIVE	870274	103,8501	0,6974026	108,3597	0,4805195	112,8104	0,587013	104,4973	0,6636364	122,7564	0,2571429	109,7941	0,7	117,8669	0,3636364	122,5828	0,238961	102,4346	0,9506493	105,016	0,6376624	108,7107	0,7116883	106,3447	0,5181818	105,185	0,612987	106,519	0,7233766	103,986	0,8012987	107,2165	0,887013	124,2625	0,1246753	117,763	0,6103896	105,5141	0,8896104	107,3041	0,4766234	122,7709	0,4376623	100,6471	0,8376623	112,9431	0,3025974	109,7093	0,5649351
NEGATIVE	870372	94,99927	0,9571428	94,77609	0,9467533	95,9433	0,9896104	95,83726	0,9454545	98,94068	0,9649351	91,30341	1	104,1152	0,8818182	98,20207	0,9844156	107,0714	0,8298701	94,40073	0,9753247	105,1688	0,8454546	95,24677	0,9532468	99,40353	0,8441558	97,89228	0,9506493	98,23396	0,9545454	105,6093	0,925974	100,6836	0,9402598	112,5968	0,8194805	109,8152	0,7519481	103,5969	0,6532468	110,9817	0,9	96,77555	0,9454545	97,76176	0,925974	100,7859	0,8974026
NEGATIVE	940273	102,7992	0,7337663	104,1683	0,6584415	118,593	0,3545454	102,7603	0,7246753	110,8895	0,7012987	115,4077	0,4727273	117,703	0,3714286	102,9822	0,9142857	110,2066	0,7090909	102,5021	0,7506493	117,0883	0,3454545	112,7118	0,2493507	104,748	0,6311688	112,5951	0,4415585	114,2702	0,3350649	122,0417	0,3142857	122,3094	0,1532468	128,0671	0,2103896	122,8667	0,2337662	100,4499	0,8103896	123,8571	0,3922078	110,7984	0,3922078	97,12957	0,9350649	123,4271	0,08181818
NEGATIVE	940594	107,5322	0,5428572	106,0626	0,5675325	109,5727	0,7246753	99,11679	0,8571429	119,8337	0,3493507	110,7658	0,6610389	122,259	0,2090909	120,0972	0,3298701	110,9001	0,6662338	106,5386	0,5727273	104,2734	0,8714285	108,3037	0,4181818	110,0178	0,3662338	107,7212	0,6701299	106,1436	0,7181818	119,1392	0,4298701	120,1934	0,1922078	116,9785	0,6610389	106,2606	0,8662338	98,0168	0,8831169	123,8998	0,3883117	105,9213	0,6376624	96,69287	0,9428571	113,3792	0,3935065
NEGATIVE	940730	107,1731	0,5649351	97,6035	0,8701299	102,4137	0,9220779	105,7235	0,6064935	110,7493	0,7051948	104,3822	0,864935	105,9261	0,8207792	107,0849	0,8155844	105,5936	0,8805195	103,4099	0,7194805	116,4324	0,374026	102,3959	0,7272727	108,6855	0,4272727	109,4895	0,5766234	122,0197	0,1220779	105,1912	0,938961	111,0701	0,5844156	111,5244	0,8506494	108,3762	0,8103896	102,3247	0,7090909	111,7347	0,8779221	109,3604	0,474026	105,3116	0,635065	121,2353	0,1363636
